,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
"
0,World,"1,266,782","+65,329","69,177","+4,489","261,132","936,473","45,530",163,8.9,,
1,USA,"333,173","+21,816","9,536 ","+1,084","17,177","306,460","8,623","1,007",29,"1,751,296","5,291"
2,Spain,"130,854","+4,686","12,518 ",+571,"38,080","80,256","6,861","2,799",268,"355,000","7,593"
3,Italy,"128,948","+4,316","15,887 ",+525,"21,815","91,246","3,977","2,133",263,"691,461","11,436"
4,Germany,"100,024","+3,932","1,576 ",+132,"28,700","69,748","3,936","1,194",19,"918,460","10,962"
5,France,"92,839","+2,886","8,078 ",+518,"16,183","68,578","6,838","1,422",124,"224,254","3,436"
6,Iran,"58,226","+2,483","3,603 ",+151,"19,736","34,887","4,103",693,43,"186,000","2,214"
7,UK,"47,806","+5,903","4,934 ",+621,135,"42,737","1,559",704,73,"195,524","2,880"
8,Turkey,"27,069","+3,135",574 ,+73,"1,042","25,453","1,381",321,7,"181,445","2,151"
9,Switzerland,"21,100",+595,715 ,+49,"6,415","13,970",391,"2,438",83,"158,000","18,256"
10,Belgium,"19,691","+1,260","1,447 ",+164,"3,751","14,493","1,261","1,699",125,"70,000","6,040"
11,Netherlands,"17,851","+1,224","1,766 ",+115,250,"15,835","1,385","1,042",103,"75,415","4,401"
12,Canada,"15,425","+1,513",277 ,+46,"2,847","12,301",426,409,7,"317,972","8,425"
13,Austria,"12,051",+270,204 ,+18,"2,998","8,849",244,"1,338",23,"108,416","12,038"
14,Portugal,"11,278",+754,295 ,+29,75,"10,908",267,"1,106",29,"86,370","8,470"
15,Brazil,"11,130",+770,486 ,+41,127,"10,517",296,52,2,"54,824",258
16,S. Korea,"10,237",+81,183 ,+6,"6,463","3,591",55,200,4,"461,233","8,996"
17,Israel,"8,430",+579,49 ,+5,477,"7,904",139,974,6,"90,394","10,443"
18,Sweden,"6,830",+387,401 ,+28,205,"6,224",541,676,40,"36,900","3,654"
19,Norway,"5,687",+137,71 ,+9,32,"5,584",89,"1,049",13,"105,865","19,528"
20,Australia,"5,687",+137,35 ,+5,"2,315","3,337",91,223,1,"297,154","11,653"
21,Russia,"5,389",+658,45 ,+2,355,"4,989",8,37,0.3,"697,000","4,776"
22,Ireland,"4,994",+390,158 ,+21,25,"4,811",165,"1,011",32,"30,213","6,119"
23,Czechia,"4,543",+71,67 ,+8,96,"4,380",86,424,6,"80,304","7,499"
24,Chile,"4,471",+310,34 ,+7,618,"3,819",307,234,2,"51,956","2,718"
25,Denmark,"4,369",+292,179 ,+18,"1,327","2,863",142,754,31,"49,249","8,503"
26,Poland,"4,102",+475,94 ,+15,134,"3,874",50,108,2,"80,757","2,134"
27,Romania,"3,864",+251,151 ,+5,374,"3,339",141,201,8,"38,623","2,008"
28,Malaysia,"3,662",+179,61 ,+4,"1,005","2,596",99,113,2,"51,937","1,605"
29,Ecuador,"3,646",+181,180 ,+8,100,"3,366",100,207,10,"12,386",702
30,India,"3,588",,99 ,,229,"3,260",,3,0.07,"128,320",93
31,Philippines,"3,246",+152,152  ,+8,64,"3,030",1,30,1,"19,585",179
32,Pakistan,"3,157",+339,47 ,+6,211,"2,899",18,14,0.2,"34,885",158
33,Japan,"3,139",,77 ,,514,"2,548",64,25,0.6,"44,639",353
34,Luxembourg,"2,804",+75,36 ,+5,500,"2,268",33,"4,479",58,"23,687","37,840"
35,Saudi Arabia,"2,402",+223,34 ,+5,488,"1,880",41,69,1.0,,
36,Peru,"2,281",+535,83 ,+10,989,"1,209",81,69,3,"19,410",589
37,Indonesia,"2,273",+181,198 ,+7,164,"1,911",,8,0.7,"9,712",36
38,Thailand,"2,169",+102,23 ,+3,793,"1,353",23,31,0.3,"25,071",359
39,Finland,"1,927",+45,28 ,+3,300,"1,599",73,348,5,"31,714","5,724"
40,Serbia,"1,908",+284,51 ,+7,54,"1,803",98,218,6,"7,360",842
41,Mexico,"1,890",+202,79 ,+19,633,"1,178",1,15,0.6,"15,668",122
42,Panama,"1,801",,46 ,,13,"1,742",75,417,11,"9,256","2,145"
43,UAE,"1,799",+294,10 ,,144,"1,645",1,182,1,"220,000","22,244"
44,Dominican Republic,"1,745",+167,82 ,+5,17,"1,646",147,161,8,"4,542",419
45,Greece,"1,735",+62,73 ,+5,78,"1,584",93,166,7,"25,453","2,442"
46,South Africa,"1,655",+70,11 ,+2,95,"1,549",7,28,0.2,"56,873",959
47,Qatar,"1,604",+279,4 ,+1,123,"1,477",37,557,1,"35,757","12,411"
48,Iceland,"1,486",+69,4 ,,428,"1,054",11,"4,355",12,"25,394","74,416"
49,Colombia,"1,485",+79,35 ,+3,88,"1,362",50,29,0.7,"23,706",466
50,Argentina,"1,451",,44 ,+1,280,"1,127",86,32,1.0,"8,488",188
51,Algeria,"1,320",+69,152 ,+22,90,"1,078",46,30,3,"3,359",77
52,Singapore,"1,309",+120,6 ,,320,983,25,224,1,"39,000","6,666"
53,Ukraine,"1,308",+83,37 ,+5,28,"1,243",16,30,0.8,"5,493",126
54,Croatia,"1,182",+56,15 ,+3,125,"1,042",39,288,4,"10,847","2,642"
55,Egypt,"1,173",+103,78 ,+7,247,848,,11,0.8,"25,000",244
56,Estonia,"1,097",+58,15 ,+2,62,"1,020",17,827,11,"21,004","15,834"
57,New Zealand,"1,039",+89,1 ,,156,882,3,215,0.2,"36,209","7,509"
58,Morocco,"1,021",+102,70 ,+11,76,875,1,28,2,"4,848",131
59,Slovenia,997,+20,28 ,+6,79,890,31,480,13,"27,764","13,355"
60,Iraq,961,+83,61 ,+5,279,621,,24,2,,
61,Hong Kong,890,+28,4 ,,206,680,8,119,0.5,"96,709","12,900"
62,Moldova,864,+112,15 ,+3,30,819,80,214,4,,
63,Armenia,822,+52,7 ,,57,758,30,277,2,"4,666","1,575"
64,Lithuania,811,+40,13 ,+2,7,791,11,298,5,"23,645","8,686"
65,Hungary,733,+55,34 ,+2,66,633,17,76,4,"21,250","2,200"
66,Diamond Princess,712,,11 ,,619,82,10,,,,
67,Bahrain,700,+12,4 ,,431,265,3,411,2,"44,386","26,085"
68,Bosnia and Herzegovina,654,+30,23 ,+2,30,601,4,199,7,"5,349","1,630"
69,Cameroon,650,+95,9 ,,17,624,,24,0.3,,
70,Azerbaijan,584,+63,7 ,+2,32,545,17,58,0.7,"40,000","3,945"
71,Kazakhstan,584,+53,6 ,+1,42,536,6,31,0.3,"5,093",271
72,Tunisia,574,+21,22 ,+4,5,547,39,49,2,"7,145",605
73,Belarus,562,+122,8 ,+3,52,502,11,59,0.8,"32,000","3,386"
74,Kuwait,556,+77,1 ,,99,456,17,130,0.2,,
75,North Macedonia,555,+72,18 ,+1,23,514,15,266,9,"4,920","2,362"
76,Latvia,533,+24,1 ,,1,531,4,283,0.5,"20,680","10,964"
77,Bulgaria,531,+28,20 ,+3,37,474,22,76,3,"15,899","2,288"
78,Lebanon,527,+7,18 ,+1,54,455,28,77,3,"9,411","1,379"
79,Andorra,501,+35,18 ,+1,26,457,12,"6,484",233,,
80,Slovakia,485,+14,1 ,,10,474,3,89,0.2,"15,155","2,776"
81,Costa Rica,454,+19,2 ,,16,436,14,89,0.4,"5,098","1,001"
82,Cyprus,446,+20,9 ,,37,400,11,369,7,"10,946","9,066"
83,Uruguay,400,,5 ,,93,302,13,115,1,"5,063","1,458"
84,Taiwan,363,+8,5 ,,54,304,,15,0.2,"37,219","1,563"
85,Albania,361,+28,20 ,,104,237,7,125,7,"2,396",833
86,Afghanistan,349,+40,7 ,,15,327,,9,0.2,,
87,Burkina Faso,345,+27,17 ,+1,90,238,,17,0.8,,
88,Jordan,345,+22,5 ,,110,230,5,34,0.5,,
89,Réunion,344,+10, ,,40,304,4,384,,,
90,Uzbekistan,342,+76,2 ,,30,310,8,10,0.06,,
91,Cuba,320,+32,8 ,+2,15,297,11,28,0.7,"5,234",462
92,Channel Islands,309,+47,6 ,+1,27,276,,"1,777",35,,
93,Oman,298,+21,2 ,,61,235,3,58,0.4,,
94,Honduras,268,+4,22 ,+7,6,240,10,27,2,,
95,San Marino,266,+7,32 ,,35,199,14,"7,839",943,586,"17,270"
96,Ivory Coast,261,+16,3 ,+2,37,221,,10,0.1,,
97,Vietnam,241,+1, ,,90,151,3,2,,"88,551",910
98,Palestine,234,+17,1 ,,23,210,,46,0.2,"12,738","2,497"
99,Nigeria,232,+18,5 ,+1,33,194,2,1,0.02,"4,000",19
100,Mauritius,227,+31,7 ,,7,213,1,178,6,,
101,Malta,227,+14, ,,5,222,3,514,,"10,358","23,459"
102,Senegal,222,+3,2 ,,82,138,1,13,0.1,,
103,Ghana,214,+9,5 ,,31,178,2,7,0.2,,
104,Montenegro,214,+13,2 ,,1,211,4,341,3,"1,583","2,520"
105,Niger,184,+40,10 ,+2,13,161,,8,0.4,"4,012",166
106,Faeroe Islands,181,, ,,99,82,1,"3,704",,"4,890","100,076"
107,Sri Lanka,176,+10,5 ,,33,138,5,8,0.2,,
108,Georgia,174,+12,2 ,+1,36,136,6,44,0.5,"2,762",692
109,Venezuela,159,+4,7 ,,52,100,6,6,0.2,"1,779",63
110,Bolivia,157,+18,10 ,,2,145,3,13,0.9,591,51
111,DRC,154,,18 ,,3,133,,2,0.2,,
112,Martinique,149,+4,4 ,+1,50,95,21,397,11,,
113,Kyrgyzstan,147,+3,1 ,,9,137,5,23,0.2,"9,618","1,474"
114,Kenya,142,+16,4 ,,4,134,2,3,0.07,"3,836",71
115,Brunei ,135,,1 ,,73,61,3,309,2,"8,129","18,581"
116,Guadeloupe,134,,7 ,,24,103,14,335,17,,
117,Mayotte,134,,2 ,,14,118,3,491,7,479,"1,756"
118,Isle of Man,127,+1,1 ,,,126,,"1,494",12,"1,334","15,688"
119,Guinea,121,+10, ,,5,116,,9,,,
120,Cambodia,114,, ,,50,64,1,7,,"5,768",345
121,Trinidad and Tobago,104,+1,7 ,+1,1,96,,74,5,797,569
122,Paraguay,104,+8,3 ,,12,89,2,15,0.4,"1,381",194
123,Rwanda,104,+2, ,,4,100,,8,,,
124,Gibraltar,103,+5, ,,52,51,,"3,057",,"1,345","39,922"
125,Bangladesh,88,+18,9 ,+1,33,46,1,0.5,0.05,"2,086",13
126,Liechtenstein,77,,1 ,,,76,,"2,020",26,900,"23,605"
127,Monaco,73,+7,1 ,,3,69,2,"1,860",25,,
128,Madagascar,72,+2, ,,2,70,6,3,,,
129,Aruba,64,, ,,1,63,,599,,863,"8,083"
130,El Salvador,62,+6,3 ,,2,57,4,10,0.5,,
131,Guatemala,61,,2 ,,15,44,1,3,0.1,"1,134",63
132,French Guiana,61,, ,,22,39,1,204,,,
133,Djibouti,59,+9, ,,9,50,,60,,,
134,Barbados,56,+4,1 ,+1,6,49,4,195,3,527,"1,834"
135,Jamaica,55,+2,3 ,,7,45,,19,1,540,182
136,Uganda,52,+4, ,,,52,,1,,"2,629",57
137,Congo,45,+23,5 ,+3,2,38,,8,0.9,,
138,Mali,45,+4,5 ,+2,1,39,,2,0.2,,
139,Togo,44,+3,3 ,,20,21,,5,0.4,,
140,Macao,44,, ,,10,34,,68,,,
141,Ethiopia,43,+5,2 ,+2,4,37,1,0.4,0.02,"1,843",16
142,French Polynesia,41,+1, ,,,41,,146,,612,"2,179"
143,Zambia,39,,1 ,,3,35,,2,0.05,619,34
144,Bermuda,37,, ,,14,23,,594,,291,"4,673"
145,Cayman Islands,35,,1 ,,1,33,,533,15,319,"4,854"
146,Saint Martin,32,+8,2 ,,7,23,6,828,52,,
147,Eritrea,29,, ,,,29,,8,,,
148,Bahamas,28,,4 ,,,24,1,71,10,,
149,Sint Maarten,25,+2,4 ,,1,20,,583,93,82,"1,912"
150,Guyana,24,+1,4 ,,,20,,31,5,93,118
151,Tanzania,22,+2,1 ,,3,18,,0.4,0.02,,
152,Benin,22,+6, ,,5,17,,2,,,
153,Gabon,21,,1 ,,1,19,,9,0.4,,
154,Haiti,21,+1,1 ,+1,1,19,,2,0.09,247,22
155,Myanmar,21,,1 ,,,20,,0.4,0.02,,
156,Syria,19,+3,2 ,,2,15,,1,0.1,,
157,Maldives,19,, ,,13,6,,35,,,
158,Libya,18,,1 ,,,17,,3,0.1,294,43
159,Guinea-Bissau,18,, ,,,18,,9,,,
160,New Caledonia,18,+1, ,,1,17,,63,,"1,983","6,946"
161,Equatorial Guinea,16,, ,,1,15,,11,,,
162,Namibia,16,+2, ,,3,13,,6,,301,118
163,Antigua and Barbuda,15,, ,,,15,1,153,,40,408
164,Dominica,14,, ,,,14,,194,,255,"3,542"
165,Mongolia,14,, ,,2,12,,4,,,
166,Saint Lucia,14,, ,,1,13,,76,,,
167,Liberia,13,+3,3 ,+2,3,7,,3,0.6,,
168,Sudan,12,+2,2 ,,2,8,,0.3,0.05,,
169,Fiji,12,, ,,,12,,13,,,
170,Grenada,12,, ,,,12,2,107,,45,400
171,Curaçao,11,,1 ,,5,5,,67,6,,
172,Greenland,11,, ,,3,8,,194,,542,"9,547"
173,Laos,11,+1, ,,,11,,2,,604,83
174,Angola,10,,2 ,,2,6,,0.3,0.06,,
175,Suriname,10,,1 ,,,9,,17,2,,
176,Mozambique,10,, ,,1,9,,0.3,,338,11
177,Saint Kitts and Nevis,10,+1, ,,,10,,188,,149,"2,801"
178,Seychelles,10,, ,,,10,,102,,,
179,MS Zaandam,9,,2 ,,,7,,,,,
180,Zimbabwe,9,,1 ,,,8,,0.6,0.07,316,21
181,Nepal,9,, ,,1,8,,0.3,,"1,521",52
182,Chad,9,, ,,,9,,0.5,,,
183,Eswatini,9,, ,,,9,,8,,,
184,CAR,8,, ,,,8,,2,,,
185,Cabo Verde,7,,1 ,,,6,,13,2,,
186,Vatican City,7,, ,,,7,,"8,739",,,
187,St. Vincent Grenadines,7,, ,,1,6,,63,,,
188,Somalia,7,, ,,1,6,,0.4,,,
189,Botswana,6,+2,1 ,,,5,,3,0.4,966,411
190,Mauritania,6,,1 ,,2,3,,1,0.2,67,14
191,Nicaragua,6,+1,1 ,,,5,,0.9,0.2,,
192,Montserrat,6,, ,,,6,,"1,202",,,
193,St. Barth,6,, ,,1,5,,607,,,
194,Sierra Leone,6,+2, ,,,6,,0.8,,,
195,Turks and Caicos,5,,1  ,+1,,4,,129,26,,
196,Belize,5,+1, ,,,5,1,13,,102,257
197,Bhutan,5,, ,,2,3,,6,,,
198,Gambia,4,,1 ,,2,1,,2,0.4,,
199,Malawi,4,, ,,,4,,0.2,,,
200,Western Sahara,4,, ,,,4,,7,,,
201,Anguilla,3,, ,,,3,,200,,,
202,British Virgin Islands,3,, ,,,3,,99,,,
203,Burundi,3,, ,,,3,,0.3,,,
204,Caribbean Netherlands,2,, ,,,2,,76,,10,381
205,Falkland Islands,2,+1, ,,,2,,575,,,
206,Papua New Guinea,1,, ,,,1,,0.1,,72,8
207,Saint Pierre Miquelon,1,+1, ,,,1,,173,,,
208,South Sudan,1,+1, ,,,1,,0.09,,,
209,Timor-Leste,1,, ,,,1,,0.8,,,
210,China,"81,669",+30,"3,329 ",+3,"76,964","1,376",295,57,2,,
211,Total:,"1,266,782","+65,329","69,177","+4,489","261,132","936,473","45,530",162.5,8.9,,
